area,theater,url
서울,CAR CINEMA,/theaters/?areacode=01&theaterCode=0321&date=20200923
서울,CGV강남,/theaters/?areacode=01&theaterCode=0056&date=20200923
서울,CGV강변,/theaters/?areacode=01&theaterCode=0001&date=20200923
서울,CGV건대입구,/theaters/?areacode=01&theaterCode=0229&date=20200923
서울,CGV구로,/theaters/?areacode=01&theaterCode=0010&date=20200923
서울,CGV대학로,/theaters/?areacode=01&theaterCode=0063&date=20200923
서울,CGV동대문,/theaters/?areacode=01&theaterCode=0252&date=20200923
서울,CGV등촌,/theaters/?areacode=01&theaterCode=0230&date=20200923
서울,CGV명동,/theaters/?areacode=01&theaterCode=0009&date=20200923
서울,CGV명동역 씨네라이브러리,/theaters/?areacode=01&theaterCode=0105&date=20200923
서울,CGV목동,/theaters/?areacode=01&theaterCode=0011&date=20200923
서울,CGV미아,/theaters/?areacode=01&theaterCode=0057&date=20200923
서울,CGV불광,/theaters/?areacode=01&theaterCode=0030&date=20200923
서울,CGV상봉,/theaters/?areacode=01&theaterCode=0046&date=20200923
서울,CGV성신여대입구,/theaters/?areacode=01&theaterCode=0300&date=20200923
서울,CGV송파,/theaters/?areacode=01&theaterCode=0088&date=20200923
서울,CGV수유,/theaters/?areacode=01&theaterCode=0276&date=20200923
서울,CGV신촌아트레온,/theaters/?areacode=01&theaterCode=0150&date=20200923
서울,CGV압구정,/theaters/?areacode=01&theaterCode=0040&date=20200923
서울,CGV여의도,/theaters/?areacode=01&theaterCode=0112&date=20200923
서울,CGV영등포,/theaters/?areacode=01&theaterCode=0059&date=20200923
서울,CGV왕십리,/theaters/?areacode=01&theaterCode=0074&date=20200923
서울,CGV용산아이파크몰,/theaters/?areacode=01&theaterCode=0013&date=20200923
서울,CGV중계,/theaters/?areacode=01&theaterCode=0131&date=20200923
서울,CGV천호,/theaters/?areacode=01&theaterCode=0199&date=20200923
서울,CGV청담씨네시티,/theaters/?areacode=01&theaterCode=0107&date=20200923
서울,CGV피카디리1958,/theaters/?areacode=01&theaterCode=0223&date=20200923
서울,CGV하계,/theaters/?areacode=01&theaterCode=0164&date=20200923
서울,CGV홍대,/theaters/?areacode=01&theaterCode=0191&date=20200923
서울,CINE de CHEF 압구정,/theaters/special/show-times.aspx?regioncode=103&theatercode=0040
서울,CINE de CHEF 용산아이파크몰,/theaters/special/show-times.aspx?regioncode=103&theatercode=0013
경기,CGV경기광주,/theaters/?areacode=02&theaterCode=0260&date=20200923
경기,CGV고양행신,/theaters/?areacode=02&theaterCode=0255&date=20200923
경기,CGV광교,/theaters/?areacode=02&theaterCode=0257&date=20200923
경기,CGV광교상현,/theaters/?areacode=02&theaterCode=0266&date=20200923
경기,CGV구리,/theaters/?areacode=02&theaterCode=0232&date=20200923
경기,CGV김포운양,/theaters/?areacode=02&theaterCode=0188&date=20200923
경기,CGV김포풍무,/theaters/?areacode=02&theaterCode=0126&date=20200923
경기,CGV김포한강,/theaters/?areacode=02&theaterCode=0298&date=20200923
경기,CGV동백,/theaters/?areacode=02&theaterCode=0124&date=20200923
경기,CGV동수원,/theaters/?areacode=02&theaterCode=0041&date=20200923
경기,CGV동탄,/theaters/?areacode=02&theaterCode=0106&date=20200923
경기,CGV동탄역,/theaters/?areacode=02&theaterCode=0265&date=20200923
경기,CGV동탄호수공원,/theaters/?areacode=02&theaterCode=0233&date=20200923
경기,CGV배곧,/theaters/?areacode=02&theaterCode=0226&date=20200923
경기,CGV범계,/theaters/?areacode=02&theaterCode=0155&date=20200923
경기,CGV부천,/theaters/?areacode=02&theaterCode=0015&date=20200923
경기,CGV부천역,/theaters/?areacode=02&theaterCode=0194&date=20200923
경기,CGV부천옥길,/theaters/?areacode=02&theaterCode=0287&date=20200923
경기,CGV북수원,/theaters/?areacode=02&theaterCode=0049&date=20200923
경기,CGV산본,/theaters/?areacode=02&theaterCode=0242&date=20200923
경기,CGV서현,/theaters/?areacode=02&theaterCode=0196&date=20200923
경기,CGV성남모란,/theaters/?areacode=02&theaterCode=0304&date=20200923
경기,CGV소풍,/theaters/?areacode=02&theaterCode=0143&date=20200923
경기,CGV수원,/theaters/?areacode=02&theaterCode=0012&date=20200923
경기,CGV스타필드시티위례,/theaters/?areacode=02&theaterCode=0274&date=20200923
경기,CGV시흥,/theaters/?areacode=02&theaterCode=0073&date=20200923
경기,CGV안산,/theaters/?areacode=02&theaterCode=0211&date=20200923
경기,CGV안성,/theaters/?areacode=02&theaterCode=0279&date=20200923
경기,CGV야탑,/theaters/?areacode=02&theaterCode=0003&date=20200923
경기,CGV양주옥정,/theaters/?areacode=02&theaterCode=0262&date=20200923
경기,CGV역곡,/theaters/?areacode=02&theaterCode=0029&date=20200923
경기,CGV오리,/theaters/?areacode=02&theaterCode=0004&date=20200923
경기,CGV오산,/theaters/?areacode=02&theaterCode=0305&date=20200923
경기,CGV오산중앙,/theaters/?areacode=02&theaterCode=0307&date=20200923
경기,CGV용인,/theaters/?areacode=02&theaterCode=0271&date=20200923
경기,CGV의정부,/theaters/?areacode=02&theaterCode=0113&date=20200923
경기,CGV의정부태흥,/theaters/?areacode=02&theaterCode=0187&date=20200923
경기,CGV이천,/theaters/?areacode=02&theaterCode=0205&date=20200923
경기,CGV일산,/theaters/?areacode=02&theaterCode=0054&date=20200923
경기,CGV정왕,/theaters/?areacode=02&theaterCode=0320&date=20200923
경기,CGV죽전,/theaters/?areacode=02&theaterCode=0055&date=20200923
경기,CGV파주문산,/theaters/?areacode=02&theaterCode=0148&date=20200923
경기,CGV파주야당,/theaters/?areacode=02&theaterCode=0310&date=20200923
경기,CGV판교,/theaters/?areacode=02&theaterCode=0181&date=20200923
경기,CGV평촌,/theaters/?areacode=02&theaterCode=0195&date=20200923
경기,CGV평택,/theaters/?areacode=02&theaterCode=0052&date=20200923
경기,CGV평택소사,/theaters/?areacode=02&theaterCode=0214&date=20200923
경기,CGV포천,/theaters/?areacode=02&theaterCode=0309&date=20200923
경기,CGV화성봉담,/theaters/?areacode=02&theaterCode=0301&date=20200923
경기,CGV화정,/theaters/?areacode=02&theaterCode=0145&date=20200923
인천,CGV계양,/theaters/?areacode=202&theaterCode=0043&date=20200923
인천,CGV남주안,/theaters/?areacode=202&theaterCode=0198&date=20200923
인천,CGV부평,/theaters/?areacode=202&theaterCode=0021&date=20200923
인천,CGV연수역,/theaters/?areacode=202&theaterCode=0247&date=20200923
인천,CGV인천,/theaters/?areacode=202&theaterCode=0002&date=20200923
인천,CGV인천공항,/theaters/?areacode=202&theaterCode=0118&date=20200923
인천,CGV인천논현,/theaters/?areacode=202&theaterCode=0254&date=20200923
인천,CGV인천연수,/theaters/?areacode=202&theaterCode=0258&date=20200923
인천,CGV인천학익,/theaters/?areacode=202&theaterCode=0269&date=20200923
인천,CGV주안역,/theaters/?areacode=202&theaterCode=0308&date=20200923
인천,CGV청라,/theaters/?areacode=202&theaterCode=0235&date=20200923
강원,CGV강릉,/theaters/?areacode=12&theaterCode=0139&date=20200923
강원,CGV원주,/theaters/?areacode=12&theaterCode=0144&date=20200923
강원,CGV인제,/theaters/?areacode=12&theaterCode=0281&date=20200923
강원,CGV춘천,/theaters/?areacode=12&theaterCode=0070&date=20200923
대전/충청,CGV당진,/theaters/?areacode=03%2C205&theaterCode=0207&date=20200923
대전/충청,CGV대전,/theaters/?areacode=03%2C205&theaterCode=0007&date=20200923
대전/충청,CGV대전가수원,/theaters/?areacode=03%2C205&theaterCode=0286&date=20200923
대전/충청,CGV대전가오,/theaters/?areacode=03%2C205&theaterCode=0154&date=20200923
대전/충청,CGV대전탄방,/theaters/?areacode=03%2C205&theaterCode=0202&date=20200923
대전/충청,CGV대전터미널,/theaters/?areacode=03%2C205&theaterCode=0127&date=20200923
대전/충청,CGV보령,/theaters/?areacode=03%2C205&theaterCode=0275&date=20200923
대전/충청,CGV서산,/theaters/?areacode=03%2C205&theaterCode=0091&date=20200923
대전/충청,CGV세종,/theaters/?areacode=03%2C205&theaterCode=0219&date=20200923
대전/충청,CGV유성노은,/theaters/?areacode=03%2C205&theaterCode=0206&date=20200923
대전/충청,CGV천안,/theaters/?areacode=03%2C205&theaterCode=0044&date=20200923
대전/충청,CGV천안터미널,/theaters/?areacode=03%2C205&theaterCode=0293&date=20200923
대전/충청,CGV천안펜타포트,/theaters/?areacode=03%2C205&theaterCode=0110&date=20200923
대전/충청,CGV청주(서문),/theaters/?areacode=03%2C205&theaterCode=0228&date=20200923
대전/충청,CGV청주성안길,/theaters/?areacode=03%2C205&theaterCode=0297&date=20200923
대전/충청,CGV청주율량,/theaters/?areacode=03%2C205&theaterCode=0282&date=20200923
대전/충청,CGV청주지웰시티,/theaters/?areacode=03%2C205&theaterCode=0142&date=20200923
대전/충청,CGV청주터미널,/theaters/?areacode=03%2C205&theaterCode=0319&date=20200923
대전/충청,CGV충남논산,/theaters/?areacode=03%2C205&theaterCode=0261&date=20200923
대전/충청,CGV충북혁신,/theaters/?areacode=03%2C205&theaterCode=0284&date=20200923
대전/충청,CGV홍성,/theaters/?areacode=03%2C205&theaterCode=0217&date=20200923
대구,CGV대구,/theaters/?areacode=11&theaterCode=0058&date=20200923
대구,CGV대구수성,/theaters/?areacode=11&theaterCode=0157&date=20200923
대구,CGV대구스타디움,/theaters/?areacode=11&theaterCode=0108&date=20200923
대구,CGV대구아카데미,/theaters/?areacode=11&theaterCode=0185&date=20200923
대구,CGV대구월성,/theaters/?areacode=11&theaterCode=0216&date=20200923
대구,CGV대구이시아,/theaters/?areacode=11&theaterCode=0117&date=20200923
대구,CGV대구칠곡,/theaters/?areacode=11&theaterCode=0071&date=20200923
대구,CGV대구한일,/theaters/?areacode=11&theaterCode=0147&date=20200923
대구,CGV대구현대,/theaters/?areacode=11&theaterCode=0109&date=20200923
부산/울산,CGV남포,/theaters/?areacode=05%2C207&theaterCode=0065&date=20200923
부산/울산,CGV대연,/theaters/?areacode=05%2C207&theaterCode=0061&date=20200923
부산/울산,CGV동래,/theaters/?areacode=05%2C207&theaterCode=0042&date=20200923
부산/울산,CGV서면,/theaters/?areacode=05%2C207&theaterCode=0005&date=20200923
부산/울산,CGV서면삼정타워,/theaters/?areacode=05%2C207&theaterCode=0285&date=20200923
부산/울산,CGV센텀시티,/theaters/?areacode=05%2C207&theaterCode=0089&date=20200923
부산/울산,CGV아시아드,/theaters/?areacode=05%2C207&theaterCode=0160&date=20200923
부산/울산,CGV울산삼산,/theaters/?areacode=05%2C207&theaterCode=0128&date=20200923
부산/울산,CGV울산신천,/theaters/?areacode=05%2C207&theaterCode=0264&date=20200923
부산/울산,CGV울산진장,/theaters/?areacode=05%2C207&theaterCode=0246&date=20200923
부산/울산,CGV정관,/theaters/?areacode=05%2C207&theaterCode=0306&date=20200923
부산/울산,CGV하단아트몰링,/theaters/?areacode=05%2C207&theaterCode=0245&date=20200923
부산/울산,CGV해운대,/theaters/?areacode=05%2C207&theaterCode=0318&date=20200923
부산/울산,CGV화명,/theaters/?areacode=05%2C207&theaterCode=0159&date=20200923
부산/울산,CINE de CHEF 센텀,/theaters/special/show-times.aspx?regioncode=103&theatercode=0089
경상,CGV거제,/theaters/?areacode=204&theaterCode=0263&date=20200923
경상,CGV구미,/theaters/?areacode=204&theaterCode=0053&date=20200923
경상,CGV김천율곡,/theaters/?areacode=204&theaterCode=0240&date=20200923
경상,CGV김해,/theaters/?areacode=204&theaterCode=0028&date=20200923
경상,CGV김해율하,/theaters/?areacode=204&theaterCode=0311&date=20200923
경상,CGV김해장유,/theaters/?areacode=204&theaterCode=0239&date=20200923
경상,CGV마산,/theaters/?areacode=204&theaterCode=0033&date=20200923
경상,CGV북포항,/theaters/?areacode=204&theaterCode=0097&date=20200923
경상,CGV안동,/theaters/?areacode=204&theaterCode=0272&date=20200923
경상,CGV양산물금,/theaters/?areacode=204&theaterCode=0222&date=20200923
경상,CGV양산삼호,/theaters/?areacode=204&theaterCode=0234&date=20200923
경상,CGV창원,/theaters/?areacode=204&theaterCode=0023&date=20200923
경상,CGV창원더시티,/theaters/?areacode=204&theaterCode=0079&date=20200923
경상,CGV통영,/theaters/?areacode=204&theaterCode=0156&date=20200923
경상,CGV포항,/theaters/?areacode=204&theaterCode=0045&date=20200923
광주/전라/제주,CGV광양,/theaters/?areacode=206%2C04%2C06&theaterCode=0220&date=20200923
광주/전라/제주,CGV광양 엘에프스퀘어,/theaters/?areacode=206%2C04%2C06&theaterCode=0221&date=20200923
광주/전라/제주,CGV광주금남로,/theaters/?areacode=206%2C04%2C06&theaterCode=0295&date=20200923
광주/전라/제주,CGV광주상무,/theaters/?areacode=206%2C04%2C06&theaterCode=0193&date=20200923
광주/전라/제주,CGV광주용봉,/theaters/?areacode=206%2C04%2C06&theaterCode=0210&date=20200923
