,theater_name,theater_address
0,롯데시네마 도곡,서울특별시 강남구 도곡동 174-3
1,롯데시네마 브로드웨이(신사),서울특별시 강남구 논현동 도산대로8길 8
2,메가박스 씨티(강남대로),서울특별시 강남구 역삼1동 강남대로 422
3,메가박스 코엑스,서울특별시 강남구 삼성1동 봉은사로 524
4,롯데시네마 강동,서울특별시 강동구 성내동 천호옛길 85
5,롯데시네마 월드타워,서울특별시 송파구 잠실6동 올림픽로 300
6,메가박스 강동,서울특별시 강동구 성내동 549-2
7,메가박스 송파파크하비오,서울특별시 송파구 문정동 송파대로 111
8,롯데시네마 수유,
9,롯데시네마 가양,서울특별시 강서구 등촌동 73-1
10,롯데시네마 김포공항,서울특별시 강서구 방화동 886
11,메가박스 마곡,서울특별시 강서구 가양1동 공항대로 247 퀸즈파크나인
12,메가박스 화곡,서울특별시 강서구 화곡동 1073-10
13,롯데시네마 서울대입구,서울특별시 관악구 청룡동 남부순환로 1820
14,롯데시네마 신림,서울특별시 관악구 서원동 신림로 330
15,롯데시네마 건대입구,서울특별시 광진구 자양3동 아차산로 262
16,메가박스 군자,서울특별시 광진구 군자동 477-13
17,롯데시네마 신도림,서울특별시 구로구 신도림동 경인로 662
18,롯데시네마 가산디지털,서울특별시 금천구 가산동 60-8
19,롯데시네마 독산,서울특별시 금천구 독산동 291-5
20,롯데시네마 노원,서울특별시 노원구 상계동 713
21,롯데시네마 수락산,서울특별시 노원구 상계동 동일로 1660
22,메가박스 창동,서울특별시 도봉구 창동 도봉로 558
23,롯데시네마 장안,서울특별시 동대문구 장안동 답십리로 288
24,롯데시네마 청량리,서울특별시 동대문구 전농1동 왕산로 214
25,메가박스 이수,서울특별시 동작구 사당동 147-53
26,롯데시네마 합정,서울특별시 마포구 합정동 415-419
27,롯데시네마 홍대입구,서울특별시 마포구 동교동 166-6
28,메가박스 상암 월드컵경기장,
29,메가박스 홍대,서울특별시 마포구 동교동 160-4
30,메가박스 신촌,서울특별시 서대문구 신촌동 신촌역로 30
31,메가박스 강남,서울특별시 서초구 서초4동 서초대로77길 3
32,메가박스 센트럴(고속터미널),서울특별시 서초구 반포동 신반포로 176
33,메가박스 성수,서울특별시 성동구 성수1가1동 656-335
34,메가박스 목동,서울특별시 양천구 목1동 목동동로 309
35,롯데시네마 영등포,서울특별시 영등포구 영등포동 618-496
36,롯데시네마 용산,1544-8855
37,롯데시네마 은평(롯데몰),서울특별시 은평구 진관동 통일로 1050
38,메가박스 은평,서울특별시 은평구 불광동 304-2
39,롯데시네마 에비뉴엘(명동),서울특별시 중구 소공동 남대문로 73
40,메가박스 동대문,서울특별시 중구 광희동 장충단로 247
41,메가박스 상봉,서울특별시 중랑구 상봉동 망우로30길 3
42,롯데시네마 검단,인천광역시 서구 왕길동
43,롯데시네마 부평,
44,롯데시네마 부평역사,인천광역시 부평구 부평동 광장로 16
45,롯데시네마 영종하늘도시,인천광역시 중구 중산동 하늘중앙로195번길 15
46,롯데시네마 인천아시아드,인천광역시 서구 연희동 봉수대로 806
47,롯데시네마 인천터미널,인천광역시 남구 관교동 연남로 35
48,메가박스 검단,인천광역시 서구 당하동 1098-5
49,메가박스 송도,인천광역시 연수구 송도동 176-5
50,메가박스 영종,인천광역시 중구 운서동 3088-3
51,메가박스 인천논현,인천광역시 남동구 논현1동 논고개로 61
52,메가박스 청라지젤,인천광역시 서구 청라동 에메랄드로 청라 99
53,롯데시네마 라페스타관(일산),
54,롯데시네마 주엽,경기도 고양시 일산서구 주엽동 22
55,메가박스 고양스타필드,경기도 고양시 덕양구 동산동 251-370
56,메가박스 백석,경기도 고양시 일산동구 백석1동 중앙로 1036
57,메가박스 일산,
58,메가박스 일산벨라시타,경기도 고양시 일산동구 강송로 33 A동 2F 일산벨라시타
59,메가박스 킨텍스,경기도 고양시 일산서구 대화동 호수로 817
60,롯데시네마 광명(광명사거리),경기도 광명시 광명동 150-9 크로 앙스 7 층 롯데 시네마 광명 관
61,롯데시네마 광명아울렛,경기도 광명시 일직동 500
62,롯데시네마 광주터미널(경기),경기도 광주시 경안동 광주대로 30
63,롯데시네마 구리아울렛,경기도 구리시 동구동 419-7
64,롯데시네마 산본피트인,경기도 군포시 산본동 1145-6
65,메가박스 김포한강신도시,경기도 김포시 구래동 6882-4 두원타워 8층
66,롯데시네마 마석,경기도 남양주시 화도읍 마석우리 277-1
67,롯데시네마 진접,경기도 남양주시 진접읍 금곡리 1081-2
68,메가박스 남양주,
69,메가박스 별내,경기도 남양주시 두물 로 19
70,롯데시네마 부천(신중동역),경기도 부천시 원미구 중동 1141-2
71,롯데시네마 부천역,경기도 부천시 원미구 심곡동 175-6
72,메가박스 부천스타필드시티,경기도 부천시 소사구 계수동 59-2
73,롯데시네마 성남중앙(신흥역),경기도 성남시 수정구 신흥3동 4124
74,롯데시네마 위례,경기도 성남시 수정구 창곡동 위례광장로 104
75,메가박스 분당,경기도 성남시 분당구 서현1동 황새울로 332
76,롯데시네마 광교아울렛,경기도 수원시 영통구 이의동 도청로 10
77,롯데시네마 북수원,경기도 수원시 장안구 천천동 516
78,롯데시네마 서수원,경기도 수원시 권선구 금곡동 1114-1
79,롯데시네마 수원(수원역),경기도 수원시 권선구 서둔동 세화로 134
80,메가박스 수원,
81,메가박스 수원남문,경기도 수원시 팔달구 행궁동 행궁로 71
82,메가박스 영통,경기도 수원시 영통구 영통동 봉영로 1579 롯데쇼핑플라자 5층
83,롯데시네마 시화,경기도 시흥시 정왕본동 마유로418번길 10
84,메가박스 시흥배곧,경기도 시흥시 정왕4동 배곧3로 96
85,롯데시네마 센트럴락(안산),경기도 안산시 상록구 성포동 항가울로 422
86,롯데시네마 안산,
87,롯데시네마 안산고잔,경기도 안산시 단원구 고잔동 717-2
88,롯데시네마 안성,경기도 안성시 공도읍 양기리 306
89,롯데시네마 안양(안양역),
90,롯데시네마 안양일번가,경기도 안양시 만안구 안양4동 676-1
91,롯데시네마 인덕원,경기도 안양시 동안구 관양동
92,롯데시네마 평촌(범계역),경기도 안양시 동안구 호계동 1039
93,메가박스 양주,경기도 양주시 광사동 고읍남로 6-6
94,롯데시네마 오산(원동),경기도 오산시 원동 경기대로 198
95,롯데시네마 수지,경기도 용인시 수지구 성복동 61-7
96,롯데시네마 용인기흥,경기도 용인시 기흥구 구갈동 234
97,롯데시네마 용인역북,경기도 용인시 처인구 역북동 530
98,메가박스 용인기흥,
99,메가박스 용인테크노밸리,경기도 용인시 기흥구 청덕동 556 용인테크노밸리지식산업센터 A동 지하1 층
100,롯데시네마 의정부민락,경기도 의정부시 민락동 804-6
101,메가박스 의정부 민락,"813-3, 민락동 의정부시 경기도"
102,롯데시네마 파주아울렛,경기도 파주시 문발동 문발로 284
103,롯데시네마 파주운정,경기도 파주시 목동동 927
104,메가박스 파주금촌,경기도 파주시 중앙로 328
105,메가박스 파주운정,경기도 파주시 운정3동 경의로 991
106,메가박스 파주출판도시,경기도 파주시 교하동 문발로 220
107,롯데시네마 송탄,경기도 평택시 서정동 818-35 8층
108,롯데시네마 평택비전,경기도 평택시 비전동 830-1
109,메가박스 평택,경기도 평택시 평택동 35-3
110,메가박스 미사강변,경기도 하남시 망월동 1079-2
111,메가박스 하남스타필드,경기도 하남시 창우동 139-2
112,롯데시네마 병점,경기도 화성시 병점동 효행로 1052 8층
113,롯데시네마 향남,경기도 화성시 향남읍 상신하길로298번길 7-21
114,메가박스 동탄,경기도 화성시 반송동 동탄지성로 11
115,롯데시네마 광복,부산광역시 중구 중앙동 중앙대로 2
116,롯데시네마 대영,부산광역시 중구 남포동 비프광장로 37
117,롯데시네마 동래,부산광역시 동래구 온천동 중앙대로 1393
118,롯데시네마 동부산,부산광역시 기장군 기장읍 기장해안로 147
119,롯데시네마 부산본점(롯데백화점),부산광역시 부산진구 부전2동 가야대로 772 롯데백화점부산본점 10F
120,롯데시네마 사상,부산광역시 사상구 괘법동 사상로 201
121,롯데시네마 서면(전포동),부산광역시 부산진구 전포동 동천로 92
122,롯데시네마 센텀시티,부산광역시 해운대구 우동 센텀남대로 59 롯데백화점센텀시티점 8F
123,롯데시네마 오투(부산대),부산광역시 금정구 부곡2동 중앙대로 1607
124,롯데시네마 프리미엄 해운대(장산역),부산광역시 해운대구 좌2동 해운대로 802
125,메가박스 덕천,부산광역시 북구 덕천2동 만덕대로 23
126,메가박스 부산극장,부산광역시 중구 남포동 비프광장로 36
127,메가박스 부산대,부산광역시 금정구 장전3동 장전로12번길 55
128,메가박스 정관,1544-0070
129,메가박스 해운대(장산),부산광역시 해운대구 좌1동 해운대로 813
130,롯데시네마 울산(백화점),울산광역시 남구 삼산동 1480-1
131,롯데시네마 울산성남,울산광역시 중구 성남동 220-1
132,롯데시네마 거창,경상남도 거창군 거창읍 중앙로1길 1
133,롯데시네마 김해부원,경상남도 김해시 부원동 김해대로 2352
134,롯데시네마 김해아울렛(장유),경상남도 김해시 장유면 장유로 469
135,롯데시네마 사천,경상남도 사천시 사천읍 수석리 331
136,메가박스 양산,
137,메가박스 양산라피에스타,"경상남도 양산시 물금읍 증산역로 177, 6 7층"
138,롯데시네마 엠비씨네(진주),경상남도 진주시 가좌동 가호로 13 엠비씨네
139,롯데시네마 진주혁신(진주몰),경상남도 진주시 충무 공동 35
140,롯데시네마 프리미엄 진주(중안),경상남도 진주시 중안동 12-13
141,롯데시네마 마산(합성동),경상남도 창원시 마산회원구 합성2동 267
142,롯데시네마 진해,경상남도 창원시 진해구 석동 543-3
143,롯데시네마 창원,서울특별시 송파구 잠실6동 올림픽로 300
144,롯데시네마 프리미엄 경남대,경상남도 창원시 마산합포구 월남동5가 해안대로 7
145,메가박스 마산,경상남도 창원시 마산합포구 해운동 해안대로 51
146,메가박스 창원,경상남도 창원시 성산구 중앙동 용지로 58
147,메가박스 창원내서,경상남도 창원시 마산회원구 내서읍 중리 1043-1
148,롯데시네마 통영좌석선택가능,
149,롯데시네마 대구광장,대구광역시 서구 내당동 달구벌대로 1691
150,롯데시네마 대구율하,대구광역시 동구 율하동 1117
151,롯데시네마 대구현풍,대구광역시 달성군 현풍면 중리 490
152,롯데시네마 동성로,대구광역시 중구 동성로2가 66-1
153,롯데시네마 상인,대구광역시 달서구 상인동 월곡로 247
154,롯데시네마 성서,대구광역시 달서구 이곡동 1244-1
155,롯데시네마 프리미엄 만경,대구광역시 중구 종로1가 29-4
156,롯데시네마 프리미엄 칠곡,대구광역시 북구 구암동 학정로 422
157,메가박스 대구,
158,메가박스 대구 신세계,대구광역시 동구 신천4동 동부로 149
159,메가박스 대구이시아,대구광역시 동구 불로.봉무동 팔공로49길 51
160,메가박스 북대구(칠곡),대구광역시 북구 동천동 895-2
161,롯데시네마 경산,경상북도 경산시 북부동 강변동로 278
162,메가박스 경산하양,경상북도 경산시 하양읍 대경로 765
163,롯데시네마 경주,경상북도 경주시 노동동 계림로 83
164,메가박스 경주,경상북도 경주시 노동동 55-1
165,롯데시네마 구미공단,경상북도 구미시 공단동 산호대로 233
166,롯데시네마 프리미엄 구미센트럴,1544-8855
167,메가박스 구미강동,경상북도 구미시 인동가산로 14
168,메가박스 김천,경상북도 김천시 평화동 245-82
169,메가박스 문경,경상북도 문경시 점촌5동 모전로 65
170,롯데시네마 상주,경상북도 상주시 남성동 중앙로 147
171,롯데시네마 프리미엄 안동,경상북도 안동시 옥동 경북대로 418
172,롯데시네마 영주,경상북도 영주시 영주2동 497
173,메가박스 경북도청,경상북도 예천군 호명면 산합리 1431
174,롯데시네마 포항,경상북도 포항시 북구 중앙동 중앙상가길 16
175,메가박스 남포항좌석선택가능,
176,롯데시네마 대전(백화점),
177,롯데시네마 대전관저,대전광역시 서구 관저동 524-3
178,롯데시네마 대전둔산(월평동),대전광역시 서구 월평2동 대덕대로 325 스타게이트 12층
179,롯데시네마 대전센트럴,대전광역시 서구 둔산동 대덕대로 216
180,메가박스 대전,
181,메가박스 대전유성,
182,메가박스 대전중앙로,대전광역시 중구 대흥동 중앙로 126
183,메가박스 대전현대아울렛,대전광역시 유성구 용산동 579
184,메가박스 제천,충청북도 제천시 남현동 의병대로18길 1
185,메가박스 진천,충청북도 진천군 진천읍 중앙북로 9
186,롯데시네마 서청주(아울렛),충청북도 청주시 흥덕구 비하동
187,롯데시네마 청주 용암,충청북도 청주시 상당구 용암동 1703
188,롯데시네마 청주(성안길),충청북도 청주시 상당구 북문로1가 성안로 13
189,메가박스 오창,충청북도 청주시 청원구 오창읍 중심상업1로 8-9
190,메가박스 청주사창,충청북도 청주시 서원구 사창동 1순환로 68
191,롯데시네마 충주,충청북도 충주시 달천동 786-3
192,메가박스 충주,충청북도 충주시 성내.충인동 성서3길 19
193,메가박스 공주,충청남도 공주시 신관동 흑수골길 12
194,메가박스 논산,충청남도 논산시 내동 382-32
195,롯데시네마 서산,충청남도 서산시 동문동 193-1
196,롯데시네마 아산터미널,충청남도 아산시 모종동 번영로 225
197,메가박스 천안,충청남도 천안시 서북구 부성동 1공단1길 52
198,메가박스 홍성내포,충청남도 홍성군 홍북면 신경리 393-1
