theater_name,theater_address,jibunAddress,theater_lat,theater_lon
롯데시네마 도곡,서울특별시 강남구 도곡동 174-3,서울특별시 강남구 도곡동 174-3,37.4874592,127.0471432
롯데시네마 브로드웨이(신사),서울특별시 강남구 논현동 도산대로8길 8,서울특별시 강남구 논현동 3-5 브로드웨이,37.516363,127.0219782
메가박스 씨티(강남대로),서울특별시 강남구 역삼1동 강남대로 422,서울특별시 강남구 역삼동 816,37.5004008,127.0270069
메가박스 코엑스,서울특별시 강남구 삼성1동 봉은사로 524,서울특별시 강남구 삼성동 159 코엑스인터콘티넨탈서울,37.5128784,127.0572911
롯데시네마 강동,서울특별시 강동구 성내동 천호옛길 85,서울특별시 강동구 성내동 44-1 영화관씨네일레븐,37.5366647,127.1253535
롯데시네마 월드타워,서울특별시 송파구 잠실6동 올림픽로 300,서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰,37.5125565,127.1025508
메가박스 강동,서울특별시 강동구 성내동 549-2,서울특별시 강동구 성내동 549-2 씨네월드,37.5284024,127.1253953
메가박스 송파파크하비오,서울특별시 송파구 문정동 송파대로 111,서울특별시 송파구 문정동 618 파크하비오,37.4805094,127.1232611
롯데시네마 수유,서울특별시 강북구 번동 449-1,서울특별시 강북구 번동 449-1 북한산스카이빌딩,37.6356926,127.0238275
롯데시네마 가양,서울특별시 강서구 등촌동 73-1,서울특별시 강서구 등촌동 73-1 금부빌딩,37.5616153,126.8532594
롯데시네마 김포공항,서울특별시 강서구 방화동 886,"서울특별시 강서구 방화동 886 김포공항, 롯데몰, 스카이시티",37.565064,126.8030045
메가박스 마곡,"서울특별시 강서구 가양1동 공항대로 247, 퀸즈파크나인",서울특별시 강서구 마곡동 797-1 퀸즈파크나인,37.5593135,126.8352391
메가박스 화곡,서울특별시 강서구 화곡동 1073-10,서울특별시 강서구 화곡동 1073-10 메가박스,37.5406056,126.8375628
롯데시네마 서울대입구,서울특별시 관악구 청룡동 남부순환로 1820,서울특별시 관악구 봉천동 862-1 에그엘로우,37.480976,126.9521426
롯데시네마 신림,서울특별시 관악구 서원동 신림로 330,서울특별시 관악구 신림동 1641-2 포도몰,37.4838598,126.9302425
롯데시네마 건대입구,서울특별시 광진구 자양3동 아차산로 262,서울특별시 광진구 자양동 227-7 더샵스타시티,37.5375105,127.0725939
메가박스 군자,서울특별시 광진구 군자동 477-13,서울특별시 광진구 군자동 477-12,37.5557951,127.0783511
롯데시네마 신도림,서울특별시 구로구 신도림동 경인로 662,서울특별시 구로구 신도림동 692 디큐브시티,37.5083236,126.8884274
롯데시네마 가산디지털,서울특별시 금천구 가산동 60-8,서울특별시 금천구 가산동 60-8 현대시티아울렛 가산점,37.4775947,126.8890743
롯데시네마 독산,서울특별시 금천구 독산동 291-5,서울특별시 금천구 독산동 291-5 시티렉스,37.4694099,126.8974532
롯데시네마 노원,서울특별시 노원구 상계동 713,서울특별시 노원구 상계동 713 롯데백화점,37.6551499,127.0610983
롯데시네마 수락산,서울특별시 노원구 상계동 동일로 1660,서울특별시 노원구 상계동 1132-35,37.6765981,127.0556934
메가박스 창동,서울특별시 도봉구 창동 도봉로 558,서울특별시 도봉구 창동 715-14,37.6546022,127.0387322
롯데시네마 장안,서울특별시 동대문구 장안동 답십리로 288,서울특별시 동대문구 장안동 368-1 아트몰링 장안,37.5719099,127.0723918
롯데시네마 청량리,서울특별시 동대문구 전농1동 왕산로 214,"서울특별시 동대문구 전농동 591-53 청량리역,롯데백화점",37.5841971,127.051139
메가박스 이수,서울특별시 동작구 사당동 147-53,서울특별시 동작구 사당동 147-53 골든시네마타워,37.4847671,126.9815275
